NAMESPACE                 NAME                                                     ADDRESSTYPE   PORTS                         ENDPOINTS                                            AGE
harbor                    harbor-registry-4wwvt                                    IPv4          <unset>                       <unset>                                              40d
harbor                    harbor-z9wxh                                             IPv4          <unset>                       <unset>                                              40d
headlamp                  headlamp-82pm5                                           IPv4          4466                          10.244.7.119                                         50d
homeassistant-proxy       homeassistant-proxy-svlrx                                IPv4          <unset>                       <unset>                                              50d
kube-system               cilium-envoy-w9x9h                                       IPv4          9964                          10.42.0.15,10.42.0.30,10.42.0.16 + 3 more...         50d
kube-system               hubble-peer-m7666                                        IPv4          4244                          10.42.0.15,10.42.0.30,10.42.0.16 + 3 more...         50d
kube-system               hubble-relay-74j74                                       IPv4          4245                          10.244.9.230                                         50d
kube-system               hubble-ui-ptlsz                                          IPv4          8081                          10.244.1.86                                          50d
kube-system               kube-dns-w29c7                                           IPv4          53,53,9153                    10.244.9.228,10.244.7.251                            50d
kube-system               metrics-server-vm9b2                                     IPv4          10250                         10.244.7.248                                         50d
kube-system               monitoring-coredns-pmknn                                 IPv4          9153                          10.244.9.228,10.244.7.251                            50d
kube-system               monitoring-kube-controller-manager-8x62z                 IPv4          10257                         10.42.0.15,10.42.0.14,10.42.0.13                     50d
kube-system               monitoring-kube-proxy-9bfwz                              IPv4          <unset>                       <unset>                                              50d
kube-system               monitoring-kube-scheduler-zg4v8                          IPv4          10259                         10.42.0.15,10.42.0.14,10.42.0.13                     50d
kube-system               monitoring-kubelet-7dzrt                                 IPv4          10250,10255,4194              10.42.0.20,10.42.0.30,10.42.0.13 + 4 more...         50d
kube-system               talos-cloud-controller-manager-7zfxf                     IPv4          50258                         10.244.9.242                                         50d
kube-system               vpa-webhook-9t567                                        IPv4          <unset>                       <unset>                                              50d
kubectl-passthrough-mcp   kubectl-passthrough-mcp-xfsd8                            IPv4          8080                          10.244.9.202                                         42d
kubectl-sandbox-mcp       kubectl-sandbox-mcp-z52gl                                IPv4          8080                          10.244.7.92                                          46d
